status,service,categorySlug,priority,writingPriorityScore,clusterId,articleSlug,h1,primaryKeyword,primaryVolume,totalVolume,keywordCount,commercialOwner,textLengthRule,flags,approvedKeywords,publishedArticleSlug,publishedSemanticClusterId
published,desatascos,desatascos,P0-safety,208,fregadero-atascado:como-desatascar-fregadero,como-desatascar-el-fregadero,¿Como Desatascar el Fregadero?,como desatascar el fregadero,6600,8960,132,/desatascos/desatascar-fregadero,large-1400-2000-words,diy-review | chemical-safety-review,como desatascar el fregadero | como desatascar fregadero | como desatascar un fregadero que no traga nada | como desatascar el fregadero de la cocina | como desatascar un fregadero de forma casera | como desatascar el fregadero remedios caseros | como destapar el fregadero | como destapar fregadero | como desembozar el fregadero | como limpiar el desague del fregadero | fregadero atascado remedios caseros | como desatascar fregadero muy atascado | como desatascar tuberia fregadero | como limpiar desague fregadero | como se desatasca el fregadero | como se desatasca un fregadero | como desatascar fregadero cocina | como desatascar la pila de la cocina | como desatascar un fregadero muy atascado | como desatascar una pila,como-desatascar-fregadero,desatascos-fregadero-atascado
published,calefaccion,calefaccion,P1-high,201.1,aerotermia-calefaccion:precio-aerotermia,aerotermia-precio,Aerotermia Precio,aerotermia precio,5400,13380,28,/calefaccion/aerotermia-calefaccion,large-1400-2000-words,price-intent,aerotermia precio | precio aerotermia | instalacion aerotermia precio | precio instalar aerotermia | cuanto cuesta poner aerotermia en una casa | precio de aerotermia | aerotermia coste | calefaccion aerotermia precio | coste instalacion aerotermia | cuanto cuesta poner aerotermia | precio de la aerotermia | aerotermia alta temperatura precio | precio aerotermia vivienda unifamiliar | precio bomba de calor aerotermia | sistema aerotermia precio | aerotermia por conductos precio | coste aerotermia vivienda unifamiliar | coste instalacion aerotermia vivienda unifamiliar | precio aparato aerotermia | precio sistema aerotermia,aerotermia-precio,aerotermia-calefaccion:precio-aerotermia
published,aire-acondicionado,climatizacion,P1-high,199.8,bomba-calor:bomba-de-calor-o-aire-acondicionado,aire-acondicionado-con-bomba-de-calor,Aire Acondicionado con Bomba de Calor,aire acondicionado con bomba de calor,4400,12700,54,/aire-acondicionado/bomba-calor,large-1400-2000-words,price-intent,aire acondicionado con bomba de calor | bomba de calor de aire acondicionado | bomba de calor o aire acondicionado | aire acondicionado portatil con bomba de calor | aire acondicionado inverter con bomba de calor | aire acondicionado con bomba de calor instalacion incluida | aire acondicionado con bomba de calor precios | aire acondicionado sin bomba de calor | bomba de calor aire acondicionado portatil | aire acondicionado con bomba de calor 2x1 | aire acondicionado con bomba de calor a | mejor aire acondicionado con bomba de calor | aparatos de aire acondicionado con bomba de calor | aire acondicionado con bomba de calor barato | aire acondicionado portatil con bomba de calor silencioso | mejor aire acondicionado portatil con bomba de calor | aire acondicionado sin bomba de calor precios | aire acondicionado y bomba de calor portatil | diferencia entre bomba de calor y aire acondicionado | aire acondicionado con bomba de calor 3x1,aire-acondicionado-con-bomba-de-calor,bomba-calor:bomba-de-calor-o-aire-acondicionado
published,calefaccion,calefaccion,P1-high,195.4,aerotermia-calefaccion:aerotermia-con-radiadores,aerotermia-con-radiadores,Aerotermia con Radiadores,aerotermia con radiadores,5400,8240,44,/calefaccion/aerotermia-calefaccion,large-1400-2000-words,price-intent,aerotermia con radiadores | aerotermia radiadores | aerotermia para radiadores | aerotermia con radiadores convencionales | aerotermia con radiadores precio | aerotermia por radiadores | precio aerotermia con radiadores | radiadores para aerotermia frio y calor | radiadores aerotermia frio calor | radiadores de aerotermia | aerotermia para radiadores convencionales | calefaccion aerotermia con radiadores | radiadores para aerotermia precio | aerotermia con radiadores normales | aerotermia radiadores convencionales | precio de aerotermia con radiadores | radiadores con aerotermia | aerotermia con radiadores de alta temperatura | aerotermia radiadores alta temperatura | aerotermia y radiadores,aerotermia-con-radiadores,aerotermia-calefaccion:aerotermia-con-radiadores
published,calefaccion,calefaccion,P0-safety,194.3,radiadores-no-calientan:como-purgar-radiadores,como-purgar-radiadores,¿Como Purgar Radiadores?,como purgar radiadores,2900,5550,68,/calefaccion/radiadores-calefaccion,large-1400-2000-words,gas-safety-review,como purgar radiadores | como se purga los radiadores | como purgar los radiadores | como purgar los radiadores de casa | como purgar radiadores calefaccion | como purgar radiadores antiguos | como purgar los radiadores de la calefaccion | purgadores automaticos radiadores como funcionan | como se purgan los radiadores de calefaccion | como llenar los radiadores de calefaccion de agua | como sangrar los radiadores | como purgar radiadores con purgadores automaticos | como quitar el aire de los radiadores | como sacar el aire de los radiadores de la calefaccion | como se purgan los radiadores encendidos o apagados | como se purgan radiadores | como purgar radiadores antiguos de hierro | como purgar radiadores calefaccion central | como sacar aire de los radiadores | como se saca el aire de los radiadores,como-purgar-radiadores,calefaccion-como-purgar-radiadores
published,calefaccion,calefaccion,P0-safety,190,caldera-no-enciende:caldera-de-agua-que-es,caldera-de-agua,Caldera de Agua,caldera de agua,2400,4000,86,/calefaccion/reparacion-calderas,large-1400-2000-words,gas-safety-review | price-intent,caldera de agua | caldera electrica para agua y calefaccion | caldera de agua electrica | calderas electricas para calefaccion y agua sanitaria precios | la caldera no calienta el agua pero si la calefaccion | precios de calderas de gasoil para calefaccion y agua sanitaria | caldera agua | caldera electrica para agua | la caldera funciona pero no calienta el agua | la caldera no calienta el agua lo suficiente | mi caldera no calienta el agua | caldera electrica para radiadores de agua | caldera electrica agua | caldera electrica para calefaccion y agua | caldera agua y calefaccion | caldera de gas calefaccion y agua | caldera electrica calefaccion y agua sanitaria | calderas calefaccion y agua sanitaria precios | la caldera enciende pero no calienta el agua | porque la caldera no calienta el agua,caldera-de-agua,caldera-no-enciende:caldera-de-agua-que-es
published,fontaneria,fontaneria,P0-safety,187.3,termos-calentadores:calentador-gas-no-enciende,calentador-junkers-no-enciende,Calentador Junkers No Enciende,calentador junkers no enciende,880,3130,257,/fontanero/calentadores-termos,large-1400-2000-words,brand-specific | gas-safety-review,calentador junkers no enciende | calentador gas no enciende al abrir el grifo | calentador cointra no enciende | calentador htw no enciende | termo junker no enciende | termo junkers no enciende | calentador de gas butano no enciende | calentador junkers no enciende llama piloto | calentador centro confort no enciende | calentador de gas no enciende llama piloto | calentador junkers hydropower no enciende | calentador junkers no enciende chispa | calentador baxi no enciende | calentador fagor compact plus no enciende | calentador neckar no enciende | calentador no enciende | calentador ariston no enciende | calentador thermor no enciende | calentador vaillant no enciende | mi calentador de gas no enciende,calentador-junkers-no-enciende,termos-calentadores:calentador-junkers-no-enciende
published,calefaccion,calefaccion,P1-high,184.1,aerotermia-calefaccion:aerotermia-agua-caliente-acs,aerotermia-en-un-piso,Aerotermia en un Piso,aerotermia en un piso,1600,6380,37,/calefaccion/aerotermia-calefaccion,large-1400-2000-words,price-intent,aerotermia en un piso | aerotermia agua caliente | aerotermia alta temperatura | aerotermia con fancoils | aerotermia frio calor | bomba de calor acs | acs aerotermia | aerotermia para agua caliente | aerotermia en casa | aerotermia para acs | aerotermia casa | aerotermia de alta temperatura | bomba de calor para agua caliente | bomba de calor para piso | bomba de calor agua caliente | aerotermia para un piso | bomba de calor para calentar una casa | temperatura acs aerotermia | aerotermia casa unifamiliar | aerotermia para casa unifamiliar,aerotermia-en-un-piso,aerotermia-calefaccion:aerotermia-agua-caliente-acs
published,aire-acondicionado,climatizacion,P1-high,182.9,mantenimiento-limpieza:como-limpiar-filtros-aire-acondicionado,como-limpiar-el-filtro-del-aire-acondicionado,¿Como Limpiar el Filtro del Aire Acondicionado?,como limpiar el filtro del aire acondicionado,1300,5120,88,/aire-acondicionado/mantenimiento-aire-acondicionado,large-1400-2000-words,hygiene-review,como limpiar el filtro del aire acondicionado | como limpiar filtros aire acondicionado | como limpiar los filtros del aire acondicionado | limpiar filtros aire acondicionado por conductos | como limpiar el filtro de aire acondicionado | como se limpia los filtros del aire acondicionado | como se limpian los filtros del aire acondicionado | como limpiar los filtros de aire acondicionado | como se limpia el filtro del aire acondicionado | como se limpian filtros aire acondicionado | como limpiar los filtros de un aire acondicionado | limpiar filtro aire acondicionado centralizado | cada cuanto limpiar filtros aire acondicionado | como limpiar los filtros del aire acondicionado por conductos | limpiar filtro aire acondicionado conductos | como limpiar filtros del aire acondicionado | cada cuanto se limpian los filtros de aire acondicionado | como limpiar filtros aire acondicionado por conductos | cada cuanto se limpia el filtro del aire acondicionado | como limpiar filtro aire acondicionado centralizado,como-limpiar-el-filtro-del-aire-acondicionado,mantenimiento-limpieza:limpiar-filtro-aire-acondicionado
published,fontaneria,fontaneria,P1-high,178.5,cisternas-inodoros:cisterna-pierde-agua,como-arreglar-cisterna-que-pierde-agua,¿Como Arreglar Cisterna que Pierde Agua?,como arreglar cisterna que pierde agua,720,3240,183,/fontanero/reparacion-cisternas,large-1400-2000-words,brand-specific,como arreglar cisterna que pierde agua | la cisterna pierde agua | cisterna roca pierde agua | porque pierde agua la cisterna | arreglar cisterna pierde agua | cisterna empotrada pierde agua | como arreglar cisterna que gotea | el vater pierde agua | inodoro pierde agua por debajo | cisterna sanindusa pierde agua | cisterna wc pierde agua | como arreglar el inodoro que pierde agua | inodoro pierde agua | cisterna empotrada geberit pierde agua | cisterna empotrada roca pierde agua | cisterna pierde agua por debajo | cisterna pierde agua roca | cisterna porcelanosa nk pierde agua | como arreglar la cisterna que pierde agua | como reparar cisterna que pierde agua,como-arreglar-cisterna-que-pierde-agua,cisternas-inodoros:cisterna-pierde-agua
