decision,notes,group,landing,keyword,dataforseo_volume,dataforseo_cpc,dataforseo_competition,seo_type,seo_source,dataforseo_seed,dataforseo_source,recommended_match_types
review,,Bajantes,/fontanero/bajantes,reparacion de bajantes sin obras,320,2.08,LOW,lockedPrimaryKw,data/fontanero/child-services-seo.ts,reparacion bajantes,.tmp\keyword-providers\dataforseo\2026-06-14-19-30-55-reparacion-bajantes.json,EXACT + PHRASE
review,,Bajantes,/fontanero/bajantes,reparar bajantes sin obras,170,3.53,MEDIUM,secondaryKw,data/fontanero/child-services-seo.ts,reparacion bajantes,.tmp\keyword-providers\dataforseo\2026-06-14-19-30-55-reparacion-bajantes.json,EXACT + PHRASE
review,,Bajantes,/fontanero/bajantes,reparacion de bajantes,90,4.6,MEDIUM,secondaryKw,data/fontanero/child-services-seo.ts,reparacion bajantes,.tmp\keyword-providers\dataforseo\2026-06-14-19-30-55-reparacion-bajantes.json,EXACT + PHRASE
review,,Bajantes,/fontanero/bajantes,cambiar bajante comunidad,70,3.27,LOW,secondaryKw,data/fontanero/child-services-seo.ts,cambiar bajante comunidad,.tmp\keyword-providers\dataforseo\2026-06-14-19-30-46-cambiar-bajante-comunidad.json,EXACT + PHRASE
review,,Bajantes,/fontanero/bajantes,cambiar bajantes comunidad precio,40,4.92,LOW,secondaryKw,data/fontanero/child-services-seo.ts,cambiar bajante comunidad,.tmp\keyword-providers\dataforseo\2026-06-14-19-30-46-cambiar-bajante-comunidad.json,EXACT + PHRASE
review,,Bajantes,/fontanero/bajantes,cambio de bajantes comunidad,40,2.42,LOW,seoBlockKw,data/fontanero/child-services-seo.ts,cambiar bajante comunidad,.tmp\keyword-providers\dataforseo\2026-06-14-19-30-46-cambiar-bajante-comunidad.json,EXACT + PHRASE
review,,Bajantes,/fontanero/bajantes,reparar bajante pvc,40,0.89,MEDIUM,secondaryKw,data/fontanero/child-services-seo.ts,reparacion bajantes,.tmp\keyword-providers\dataforseo\2026-06-14-19-30-55-reparacion-bajantes.json,EXACT + PHRASE
review,,Bajantes,/fontanero/bajantes,reparacion bajantes,20,3.65,MEDIUM,secondaryKw,data/fontanero/child-services-seo.ts,reparacion bajantes,.tmp\keyword-providers\dataforseo\2026-06-14-19-30-55-reparacion-bajantes.json,EXACT + PHRASE
review,,Bajantes,/fontanero/bajantes,reparacion bajantes comunidad,20,1.75,LOW,secondaryKw,data/fontanero/child-services-seo.ts,reparacion bajantes,.tmp\keyword-providers\dataforseo\2026-06-14-19-30-55-reparacion-bajantes.json,EXACT + PHRASE
review,,Bajantes,/fontanero/bajantes,arreglar bajantes,10,1.35,LOW,secondaryKw,data/fontanero/child-services-seo.ts,reparacion bajantes,.tmp\keyword-providers\dataforseo\2026-06-14-19-30-55-reparacion-bajantes.json,EXACT + PHRASE
review,,Calentadores termos,/fontanero/calentadores-termos,termo de agua electrico,1600,0.16,HIGH,secondaryKw,data/fontanero/child-services-seo.ts,termo electrico no calienta,.tmp\keyword-providers\dataforseo\2026-06-14-19-27-29-termo-electrico-no-calienta.json,EXACT + PHRASE
review,,Calentadores termos,/fontanero/calentadores-termos,presupuesto cambiar termo electrico,10,,LOW,secondaryKw,data/fontanero/child-services-seo.ts,cambiar termo electrico,.tmp\keyword-providers\dataforseo\2026-06-14-19-27-15-cambiar-termo-electrico.json,EXACT + PHRASE
review,,Cambio banera por ducha,/fontanero/cambio-banera-por-ducha,cambiar bañera por ducha,4400,4.86,HIGH,lockedPrimaryKw,data/fontanero/child-services-seo.ts,cambiar bañera por plato de ducha,.tmp\keyword-providers\dataforseo\2026-06-14-19-33-47-cambiar-banera-por-plato-de-ducha.json,EXACT + PHRASE
