decision,notes,group,landing,keyword,avg_monthly_searches_valencia,competition_index,competition_level,low_top_of_page_bid_eur,high_top_of_page_bid_eur,recommended_match_types
review,,Bajantes,/fontanero/bajantes,reparacion de bajantes valencia,10,,,,,EXACT + PHRASE
review,,Calentadores termos,/fontanero/calentadores-termos,reparar termo electrico valencia,10,100,HIGH,,,EXACT + PHRASE
review,,Desatascos,/fontanero/desatascos,desatascos valencia,260,43,MEDIUM,1.74,7.91,EXACT + PHRASE
review,,Desatascos,/fontanero/desatascos,desatascos en valencia,140,50,MEDIUM,1.81,6.83,EXACT + PHRASE
review,,Desatascos,/fontanero/desatascos,empresa desatascos valencia,110,14,LOW,1.11,9.02,EXACT + PHRASE
review,,Desatascos,/fontanero/desatascos,cuba desatascos valencia,70,79,HIGH,1.96,10.29,EXACT + PHRASE
review,,Desatascos,/fontanero/desatascos,desatascos alboraya,70,1,LOW,,,EXACT + PHRASE
review,,Desatascos,/fontanero/desatascos,desatascos mislata,70,8,LOW,,,EXACT + PHRASE
review,,Desatascos,/fontanero/desatascos,desatascos catarroja,50,16,LOW,0.74,6.54,EXACT + PHRASE
review,,Desatascos,/fontanero/desatascos,desatascos paiporta,50,5,LOW,,,EXACT + PHRASE
review,,Desatascos,/fontanero/desatascos,desatascos urgentes valencia,40,21,LOW,1.43,9.81,EXACT + PHRASE
review,,Desatascos,/fontanero/desatascos,desatascos albal,20,0,LOW,,,EXACT + PHRASE
review,,Desatascos,/fontanero/desatascos,empresa de desatascos en valencia,20,86,HIGH,2.48,9.13,EXACT + PHRASE
review,,Desatascos,/fontanero/desatascos,empresas de desatascos en valencia,20,86,HIGH,2.48,9.13,EXACT + PHRASE
review,,Instalaciones fontaneria,/fontanero/instalaciones,fontaneria valencia,1600,57,MEDIUM,1.54,6.2,EXACT + PHRASE
review,,Instalaciones fontaneria,/fontanero/instalaciones,instalacion fontaneria valencia,10,95,HIGH,,,EXACT + PHRASE
review,,Reparacion duchas,/fontanero/reparacion-duchas,cambiar plato de ducha valencia,10,,,,,EXACT + PHRASE
